time,lat,lon,elevation,accuracy,bearing,speed
2014-03-16T21:01:44Z,42.038264,-71.351454,58.400002,9.000000,0.000000,0.000000
2014-03-16T21:01:45Z,42.038266,-71.351455,58.400002,4.000000,0.000000,0.000000
2014-03-16T21:01:46Z,42.038266,-71.351455,58.400002,3.000000,0.000000,0.000000
2014-03-16T21:01:48Z,42.038266,-71.351455,58.400002,3.000000,0.000000,0.000000
2014-03-16T21:01:49Z,42.038266,-71.351455,58.400002,5.000000,0.000000,0.000000
2014-03-16T21:01:52Z,42.038266,-71.351454,58.400002,9.000000,0.000000,0.000000
2014-03-16T21:01:55Z,42.038266,-71.351454,58.400002,7.000000,0.000000,0.000000
2014-03-16T21:01:57Z,42.038266,-71.351454,58.400002,6.000000,0.000000,0.000000
2014-03-16T21:02:02Z,42.038263,-71.351452,58.400002,13.000000,0.000000,0.000000
2014-03-16T21:02:03Z,42.038263,-71.351452,58.400002,19.000000,0.000000,0.000000
2014-03-16T21:02:04Z,42.038263,-71.351452,58.400002,27.000000,0.000000,0.000000
2014-03-16T21:02:05Z,42.038263,-71.351452,58.400002,20.000000,0.000000,0.000000
2014-03-16T21:02:07Z,42.038263,-71.351452,58.400002,28.000000,0.000000,0.000000
2014-03-16T21:02:10Z,42.038266,-71.351452,58.400002,17.000000,268.299988,0.500000
2014-03-16T21:02:11Z,42.038270,-71.351450,51.099998,10.000000,268.299988,0.250000
2014-03-16T21:02:12Z,42.038262,-71.351427,46.599998,6.000000,268.299988,0.250000
2014-03-16T21:02:14Z,42.038250,-71.351420,49.799999,5.000000,268.299988,0.750000
2014-03-16T21:02:16Z,42.038233,-71.351413,49.700001,6.000000,169.800003,1.000000
2014-03-16T21:02:19Z,42.038194,-71.351412,54.500000,4.000000,174.199997,1.000000
2014-03-16T21:02:20Z,42.038182,-71.351416,55.900002,4.000000,180.500000,1.000000
2014-03-16T21:02:20Z,42.038174,-71.351419,55.400002,3.000000,180.500000,0.750000
2014-03-16T21:02:22Z,42.038173,-71.351426,55.799999,3.000000,0.000000,0.000000
2014-03-16T21:02:24Z,42.038179,-71.351429,54.299999,4.000000,0.000000,0.000000
2014-03-16T21:02:25Z,42.038182,-71.351431,54.299999,5.000000,0.000000,0.000000
2014-03-16T21:02:27Z,42.038184,-71.351431,54.299999,7.000000,0.000000,0.000000
2014-03-16T21:02:29Z,42.038182,-71.351437,54.200001,5.000000,0.000000,0.000000
2014-03-16T21:02:30Z,42.038181,-71.351439,54.200001,4.000000,0.000000,0.000000
2014-03-16T21:02:31Z,42.038180,-71.351441,54.200001,4.000000,0.000000,0.000000
2014-03-16T21:02:33Z,42.038179,-71.351441,54.799999,4.000000,0.000000,0.000000
2014-03-16T21:02:35Z,42.038165,-71.351455,55.099998,3.000000,187.199997,0.750000
2014-03-16T21:02:36Z,42.038158,-71.351465,55.099998,4.000000,187.199997,0.500000
2014-03-16T21:02:37Z,42.038150,-71.351475,54.299999,4.000000,187.199997,0.500000
